"'Area: Nothing :('","0","filler","Area","Nothing :("
"'Area: Ocean Chunk (18N 32W)'","1","progression","Area","12065"
"'Area: Ocean Chunk (18N 30W)'","1","progression","Area","12066"
"'Area: Ocean Chunk (18N 28W)'","1","progression","Area","12067"
"'Area: Ocean Chunk (18N 26W)'","1","progression","Area","12068"
"'Area: Ocean Chunk (18N 24W)'","1","progression","Area","12069"
"'Area: Ocean Chunk (18N 22W)'","1","progression","Area","12070"
"'Area: Ocean Chunk (18N 20W)'","1","progression","Area","12071"
"'Area: Ocean Chunk (18N 18W)'","1","progression","Area","12072"
"'Area: Dognose Island'","1","progression","Area","12073"
"'Area: Ocean Chunk (18N 14W)'","1","progression","Area","12074"
"'Area: Ocean Chunk (18N 12W)'","1","progression","Area","12075"
"'Area: Tempoross Arena'","1","progression","Area","12076"
"'Area: Ocean Chunk (18N 8W)'","1","progression","Area","12077"
"'Area: The Pandemonium'","1","progression","Area","12078"
"'Area: Ocean Chunk (18N 4W)'","1","progression","Area","12079"
"'Area: Ocean Chunk (18N 2W)'","1","progression","Area","12080"
"'Area: Port Sarim Jail'","1","progression","Area","12081"
"'Area: Port Sarim'","1","progression","Area","12082"
"'Area: Falador Farm'","1","progression","Area","12083"
"'Area: East Falador'","1","progression","Area","12084"
"'Area: Asgarnian Road'","1","progression","Area","12085"
"'Area: Edgeville Monastery'","1","progression","Area","12086"
"'Area: Monastery Ditch'","1","progression","Area","12087"
"'Area: Dark Warriors\' Fort'","1","progression","Area","12088"
"'Area: Wilderness Bandit Camp'","1","progression","Area","12089"
"'Area: North Bandit\'s Cliff'","1","progression","Area","12090"
"'Area: Lava Maze Entrance'","1","progression","Area","12091"
"'Area: West Lava Maze'","1","progression","Area","12092"
"'Area: Pirates\' Hideout'","1","progression","Area","12093"
"'Area: Ocean Chunk (20N 34W)'","1","progression","Area","12320"
"'Area: Ocean Chunk (20N 32W)'","1","progression","Area","12321"
"'Area: Ocean Chunk (20N 30W)'","1","progression","Area","12322"
"'Area: Ocean Chunk (20N 28W)'","1","progression","Area","12323"
"'Area: Ocean Chunk (20N 26W)'","1","progression","Area","12324"
"'Area: West Summer Shore'","1","progression","Area","12325"
"'Area: Western Great Conch'","1","progression","Area","12326"
"'Area: Abalone cliffs'","1","progression","Area","12327"
"'Area: Ocean Chunk (20N 18W)'","1","progression","Area","12328"
"'Area: Ocean Chunk (20N 16W)'","1","progression","Area","12329"
"'Area: Ocean Chunk (20N 14W)'","1","progression","Area","12330"
"'Area: Ocean Chunk (20N 12W)'","1","progression","Area","12331"
"'Area: Sea Spirit Boat'","1","progression","Area","12332"
"'Area: Ocean Chunk (20N 8W)'","1","progression","Area","12333"
"'Area: Ocean Chunk (20N 6W)'","1","progression","Area","12334"
"'Area: Ocean Chunk (20N 4W)'","1","progression","Area","12335"
"'Area: Wizards\' Tower'","1","progression","Area","12337"
"'Area: South Draynor'","1","progression","Area","12338"
"'Area: North Draynor'","1","progression","Area","12339"
"'Area: Draynor Manor'","1","progression","Area","12340"
"'Area: Barbarian Village'","1","progression","Area","12341"
"'Area: Edgeville'","1","progression","Area","12342"
"'Area: Edgeville Ditch'","1","progression","Area","12343"
"'Area: West Ferox Enclave'","1","progression","Area","12344"
"'Area: Hunter\'s End Entrance'","1","progression","Area","12345"
"'Area: Bandit Camp Mine'","1","progression","Area","12346"
"'Area: South Maze Dragons'","1","progression","Area","12347"
"'Area: East Lava Maze'","1","progression","Area","12348"
"'Area: Mage Arena'","1","progression","Area","12349"
"'Area: Ocean Chunk (22N 34W)'","1","progression","Area","12576"
"'Area: Ocean Chunk (22N 32W)'","1","progression","Area","12577"
"'Area: Ocean Chunk (22N 30W)'","1","progression","Area","12578"
"'Area: Ocean Chunk (22N 28W)'","1","progression","Area","12579"
"'Area: Summer Shore Boat'","1","progression","Area","12580"
"'Area: The Summer Shore'","1","progression","Area","12581"
"'Area: Sacred Grove West'","1","progression","Area","12582"
"'Area: Great Conch Mine'","1","progression","Area","12583"
"'Area: Ocean Chunk (22N 18W)'","1","progression","Area","12584"
"'Area: Ocean Chunk (22N 16W)'","1","progression","Area","12585"
"'Area: Ocean Chunk (22N 14W)'","1","progression","Area","12586"
"'Area: Menaphos West Gate'","1","progression","Area","12587"
"'Area: Ruins of Unkah'","1","progression","Area","12588"
"'Area: Desert Quarry'","1","progression","Area","12589"
"'Area: Desert Bandit Camp'","1","progression","Area","12590"
"'Area: Bedabin Camp'","1","progression","Area","12591"
"'Area: Ocean Chunk (22N 2W)'","1","progression","Area","12592"
"'Area: West Lumbridge Swamp'","1","progression","Area","12593"
"'Area: Lumbridge Castle Backyard'","1","progression","Area","12594"
"'Area: Lumbridge Mill'","1","progression","Area","12595"
"'Area: Champions\' Guild'","1","progression","Area","12596"
"'Area: West Varrock'","1","progression","Area","12597"
"'Area: Grand Exchange'","1","progression","Area","12598"
"'Area: Center Wildy Ditch'","1","progression","Area","12599"
"'Area: East Ferox Enclave'","1","progression","Area","12600"
"'Area: Graveyard of Shadows'","1","progression","Area","12601"
"'Area: Eastern Ruins'","1","progression","Area","12602"
"'Area: Wilderness Pond'","1","progression","Area","12603"
"'Area: Center North Wildy'","1","progression","Area","12604"
"'Area: Deserted Keep'","1","progression","Area","12605"
"'Area: Ocean Chunk (24N 34W)'","1","progression","Area","12832"
"'Area: Ocean Chunk (24N 32W)'","1","progression","Area","12833"
"'Area: Ocean Chunk (24N 30W)'","1","progression","Area","12834"
"'Area: Ocean Chunk (24N 28W)'","1","progression","Area","12835"
"'Area: Cape Conch Mine'","1","progression","Area","12836"
"'Area: Great Conch River'","1","progression","Area","12837"
"'Area: Sacred Grove East'","1","progression","Area","12838"
"'Area: Conch Northeast Shore'","1","progression","Area","12839"
"'Area: Ocean Chunk (24N 18W)'","1","progression","Area","12840"
"'Area: Ocean Chunk (24N 16W)'","1","progression","Area","12841"
"'Area: Ocean Chunk (24N 14W)'","1","progression","Area","12842"
"'Area: Menaphos'","1","progression","Area","12843"
"'Area: Menaphos Desert'","1","progression","Area","12844"
"'Area: Jaldraocht Pyramid'","1","progression","Area","12845"
"'Area: Desert Wall'","1","progression","Area","12846"
"'Area: Rocky Desert'","1","progression","Area","12847"
"'Area: Kalphite Coast'","1","progression","Area","12848"
"'Area: East Lumbridge Swamp'","1","progression","Area","12849"
"'Area: Lumbridge Castle'","1","progression","Area","12850"
"'Area: Groats\' Farm'","1","progression","Area","12851"
"'Area: Varrock South Gate'","1","progression","Area","12852"
"'Area: Varrock Center/Square'","1","progression","Area","12853"
"'Area: Varrock Palace'","1","progression","Area","12854"
"'Area: Varrock Ditch'","1","progression","Area","12855"
"'Area: Chaos Temple'","1","progression","Area","12856"
"'Area: Chaos Temple Woods'","1","progression","Area","12857"
"'Area: Bone Yard'","1","progression","Area","12858"
"'Area: Vet\'ion\'s Rest Entrance'","1","progression","Area","12859"
"'Area: Lava Dragon Isle'","1","progression","Area","12860"
"'Area: Scorpion Pit'","1","progression","Area","12861"
"'Area: Ocean Chunk (26N 34W)'","1","progression","Area","13088"
"'Area: Ocean Chunk (26N 32W)'","1","progression","Area","13089"
"'Area: Ocean Chunk (26N 30W)'","1","progression","Area","13090"
"'Area: Ocean Chunk (26N 28W)'","1","progression","Area","13091"
"'Area: Cape Conch'","1","progression","Area","13092"
"'Area: Conch East Shore'","1","progression","Area","13093"
"'Area: Coral Nursery Dock'","1","progression","Area","13094"
"'Area: Ocean Chunk (26N 20W)'","1","progression","Area","13095"
"'Area: Ocean Chunk (26N 18W)'","1","progression","Area","13096"
"'Area: Ocean Chunk (26N 16W)'","1","progression","Area","13097"
"'Area: Necropolis West'","1","progression","Area","13098"
"'Area: Sophanem'","1","progression","Area","13099"
"'Area: Desert Wanderer'","1","progression","Area","13100"
"'Area: Elid South Bridge'","1","progression","Area","13101"
"'Area: Smoke Dungeon'","1","progression","Area","13102"
"'Area: Desert Mining Camp'","1","progression","Area","13103"
"'Area: Shantay Pass'","1","progression","Area","13104"
"'Area: Al Kharid Palace'","1","progression","Area","13105"
"'Area: North Al Kharid'","1","progression","Area","13106"
"'Area: Al Kharid Mine'","1","progression","Area","13107"
"'Area: East Varrock Mine'","1","progression","Area","13108"
"'Area: East Varrock Gate'","1","progression","Area","13109"
"'Area: Lumber Yard'","1","progression","Area","13110"
"'Area: Lumber Yard Ditch'","1","progression","Area","13111"
"'Area: Ent Forest'","1","progression","Area","13112"
"'Area: Boneyard Hunter Area'","1","progression","Area","13113"
"'Area: East Bone Yard'","1","progression","Area","13114"
"'Area: Silk Chasm Entrance'","1","progression","Area","13115"
"'Area: Demonic Ruins'","1","progression","Area","13116"
"'Area: Rogues\' Castle'","1","progression","Area","13117"
"'Area: Ocean Chunk (28N 34W)'","1","progression","Area","13344"
"'Area: Ocean Chunk (28N 32W)'","1","progression","Area","13345"
"'Area: The Little Pearl'","1","progression","Area","13346"
"'Area: Ocean Chunk (28N 28W)'","1","progression","Area","13347"
"'Area: Ocean Chunk (28N 26W)'","1","progression","Area","13348"
"'Area: Ocean Chunk (28N 24W)'","1","progression","Area","13349"
"'Area: Ocean Chunk (28N 22W)'","1","progression","Area","13350"
"'Area: Ocean Chunk (28N 20W)'","1","progression","Area","13351"
"'Area: Ocean Chunk (28N 18W)'","1","progression","Area","13352"
"'Area: Ocean Chunk (28N 16W)'","1","progression","Area","13353"
"'Area: Necropolis Main Temple'","1","progression","Area","13354"
"'Area: North Necropolis'","1","progression","Area","13355"
"'Area: Agility Pyramid'","1","progression","Area","13356"
"'Area: Deserted Cave'","1","progression","Area","13357"
"'Area: Pollnivneach'","1","progression","Area","13358"
"'Area: River Elid Central'","1","progression","Area","13359"
"'Area: Elid North Bridge'","1","progression","Area","13360"
"'Area: Desert Battlefield'","1","progression","Area","13361"
"'Area: PvP Arena'","1","progression","Area","13362"
"'Area: Mage Training Arena'","1","progression","Area","13363"
"'Area: Exam Centre'","1","progression","Area","13364"
"'Area: Digsite'","1","progression","Area","13365"
"'Area: Silvarea'","1","progression","Area","13366"
"'Area: South East Wildy'","1","progression","Area","13367"
"'Area: Zombie Pirate Shipwreck'","1","progression","Area","13368"
"'Area: East Green Dragons'","1","progression","Area","13369"
"'Area: East Wildy Shore'","1","progression","Area","13370"
"'Area: Wilderness Crabs'","1","progression","Area","13371"
"'Area: Fountain of Rune'","1","progression","Area","13372"
"'Area: Wilderness Volcano'","1","progression","Area","13373"
"'Area: Daimon\'s Crater Southwest'","1","progression","Area","13374"
"'Area: Daimon\'s Crater West'","1","progression","Area","13375"
"'Area: Daimon\'s Crater Northwest'","1","progression","Area","13376"
"'Area: Ocean Chunk (30N 34W)'","1","progression","Area","13600"
"'Area: Ocean Chunk (30N 32W)'","1","progression","Area","13601"
"'Area: Ocean Chunk (30N 30W)'","1","progression","Area","13602"
"'Area: Ocean Chunk (30N 28W)'","1","progression","Area","13603"
"'Area: Ocean Chunk (30N 26W)'","1","progression","Area","13604"
"'Area: Ocean Chunk (30N 24W)'","1","progression","Area","13605"
"'Area: Ocean Chunk (30N 22W)'","1","progression","Area","13606"
"'Area: Ocean Chunk (30N 20W)'","1","progression","Area","13607"
"'Area: Ullek Swamp'","1","progression","Area","13611"
"'Area: Ruins of Ullek'","1","progression","Area","13612"
"'Area: Nardah'","1","progression","Area","13613"
"'Area: Nardah Desert'","1","progression","Area","13614"
"'Area: Desert Lizards'","1","progression","Area","13615"
"'Area: Desert Hunter Area'","1","progression","Area","13616"
"'Area: Citharede Abbey'","1","progression","Area","13617"
"'Area: Abandoned Mine'","1","progression","Area","13618"
"'Area: Path to Mort\'ton'","1","progression","Area","13619"
"'Area: Nature Grotto'","1","progression","Area","13620"
"'Area: Mort Myre Swamp'","1","progression","Area","13621"
"'Area: Paterdomus'","1","progression","Area","13622"
"'Area: Slayer Tower'","1","progression","Area","13623"
"'Area: Daimon\'s Crater South'","1","progression","Area","13630"
"'Area: Daimon\'s Crater Center'","1","progression","Area","13631"
"'Area: Daimon\'s Crater North'","1","progression","Area","13632"
"'Area: East Nardah Coast'","1","progression","Area","13869"
"'Area: Ancient Vault Ruins'","1","progression","Area","13870"
"'Area: Uzer Oasis'","1","progression","Area","13871"
"'Area: Uzer'","1","progression","Area","13872"
"'Area: South Burgh de Rott'","1","progression","Area","13873"
"'Area: Burgh de Rott'","1","progression","Area","13874"
"'Area: Mort\'ton'","1","progression","Area","13875"
"'Area: Swamp Rowboat'","1","progression","Area","13876"
"'Area: Myreque Hideout'","1","progression","Area","13877"
"'Area: Canifis'","1","progression","Area","13878"
"'Area: Mausoleum'","1","progression","Area","13879"
"'Area: Daimon\'s Crater Southeast'","1","progression","Area","13886"
"'Area: Daimon\'s Crater East'","1","progression","Area","13887"
"'Area: Daimon\'s Crater Northeast'","1","progression","Area","13888"
"'Area: Burgh de Rott Pier'","1","progression","Area","14129"
"'Area: East Burgh de Rott'","1","progression","Area","14130"
"'Area: Barrows'","1","progression","Area","14131"
"'Area: Castle Drakan'","1","progression","Area","14132"
"'Area: Morytania Graveyard'","1","progression","Area","14133"
"'Area: West Haunted Woods'","1","progression","Area","14134"
"'Area: Fenkenstrain\'s Castle'","1","progression","Area","14135"
"'Area: Lithkren'","1","progression","Area","14142"
"'Area: Meiyerditch Wall'","1","progression","Area","14385"
"'Area: South Meiyerditch'","1","progression","Area","14386"
"'Area: North Meiyerditch'","1","progression","Area","14387"
"'Area: Darkmeyer'","1","progression","Area","14388"
"'Area: Haunted Woods Bridge'","1","progression","Area","14389"
"'Area: East Haunted Woods'","1","progression","Area","14390"
"'Area: Alice\'s Farm'","1","progression","Area","14391"
"'Area: Pirate Pier'","1","progression","Area","14637"
"'Area: Pirate Base'","1","progression","Area","14638"
"'Area: West Mos Le\'Harmless'","1","progression","Area","14639"
"'Area: Icyene Graveyard'","1","progression","Area","14641"
"'Area: Ver Sinhaza'","1","progression","Area","14642"
"'Area: Slepe Entrance'","1","progression","Area","14643"
"'Area: East Darkmeyer'","1","progression","Area","14644"
"'Area: Morytania Delta'","1","progression","Area","14645"
"'Area: Port Phasmatys'","1","progression","Area","14646"
"'Area: Ectofuntus'","1","progression","Area","14647"
"'Area: Deranged archaeologist'","1","progression","Area","14649"
"'Area: Tar Swamp'","1","progression","Area","14650"
"'Area: Swamp Border'","1","progression","Area","14651"
"'Area: Mushroom Forest'","1","progression","Area","14652"
"'Area: Mos Le\'Harmless Cove'","1","progression","Area","14894"
"'Area: Mid Mos Le\'Harmless'","1","progression","Area","14895"
"'Area: Ver Sinhaza Shore'","1","progression","Area","14898"
"'Area: Slepe'","1","progression","Area","14899"
"'Area: Crombwick Manor'","1","progression","Area","14900"
"'Area: North Slepe Shore'","1","progression","Area","14901"
"'Area: School Boat'","1","progression","Area","14902"
"'Area: Verdant Valley'","1","progression","Area","14906"
"'Area: Museum Camp'","1","progression","Area","14907"
"'Area: House on the Hill'","1","progression","Area","14908"
"'Area: Harmony Island'","1","progression","Area","15148"
"'Area: Trouble Brewing'","1","progression","Area","15150"
"'Area: Trouble Brewing Lobby'","1","progression","Area","15151"
"'Area: Dragontooth Island'","1","progression","Area","15159"
"'Area: South Volcano'","1","progression","Area","15162"
"'Area: Fossil Island Volcano'","1","progression","Area","15163"
"'Area: Strange Stone'","1","progression","Area","15164"
"'Area: East Mos Le\'Harmless Shore'","1","progression","Area","15406"
"'Area: Northeast Mos Le\'Harmless Shore'","1","progression","Area","15407"
"Tear of Guthix","0","progression","Bingo",""
